TI,PY,SO,DI,topic,topic_terms
Cepharanthine sensitizes gastric cancer cells to chemotherapy by targeting TRIB3-FOXO3-FOXM1 axis to inhibit autophagy,2024,PHYTOMEDICINE,10.1016/j.phymed.2024.156161,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gegen Qinlian Decoction reverses oxaliplatin resistance in colorectal cancer by inhibiting YTHDF1-regulated m6A modification of GLS1,2024,PHYTOMEDICINE,10.1016/j.phymed.2024.155906,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The Next-Generation of Combination Cancer Immunotherapy: Epigenetic Immunomodulators Transmogrify Immune Training to Enhance Immunotherapy,2021,CANCERS,10.3390/cancers13143596,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Mycoplasma-associated multidrug resistance of hepatocarcinoma cells requires the interaction of P37 and Annexin A2,2017,PLOS ONE,10.1371/journal.pone.0184578,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The emerging tumor microbe microenvironment: From delineation to multidisciplinary approach-based interventions,2024,ACTA PHARMACEUTICA SINICA B,10.1016/j.apsb.2023.11.018,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Overcoming therapy resistance in pancreatic cancer: challenges and emerging strategies,2025,ADVANCED DRUG DELIVERY REVIEWS,10.1016/j.addr.2025.115647,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Tissue-resident microbiota impacts colorectal cancer progression and prognosis,2025,NATURE COMMUNICATIONS,10.1038/s41467-025-67047-2,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Investigating the association between the urinary microbiome and bladder cancer: An exploratory study,2021,UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,10.1016/j.urolonc.2020.12.011,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fusobacterium nucleatum induces chemoresistance in colorectal cancer by inhibiting pyroptosis via the Hippo pathway,2024,GUT MICROBES,10.1080/19490976.2024.2333790,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Natural Polyphenols for Treatment of Colorectal Cancer,2022,MOLECULES,10.3390/molecules27248810,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Targeting gut microbial nitrogen recycling and cellular uptake of ammonium to improve bortezomib resistance in multiple myeloma,2024,CELL METABOLISM,10.1016/j.cmet.2023.11.019,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The healthy female microbiome across body sites: effect of hormonal contraceptives and the menstrual cycle,2022,HUMAN REPRODUCTION,10.1093/humrep/deac094,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Strategic use of nanomaterials as double-edged therapeutics to control carcinogenesis via regulation of dysbiosis and bacterial infection: current status and future prospects,2025,JOURNAL OF MATERIALS CHEMISTRY B,10.1039/d4tb02409e,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microbial metabolite restricts 5-fluorouracil-resistant colonic tumor progression by sensitizing drug transporters via regulation of FOXO3-FOXM1 axis,2022,THERANOSTICS,10.7150/thno.70754,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
XIAP restrains TNF-driven intestinal inflammation and dysbiosis by promoting innate immune responses of Paneth and dendritic cells,2021,SCIENCE IMMUNOLOGY,10.1126/sciimmunol.abf7235,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
"Biliary microbiome profiling via 16 S rRNA amplicon sequencing in patients with cholangiocarcinoma, pancreatic carcinoma and choledocholithiasis",2025,SCIENTIFIC REPORTS,10.1038/s41598-025-00976-6,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Human Intestinal Organoids and Microphysiological Systems for Modeling Radiotoxicity and Assessing Radioprotective Agents,2023,CANCERS,10.3390/cancers15245859,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Therapeutic Targeting of Myeloperoxidase Attenuates NASH in Mice,2020,HEPATOLOGY COMMUNICATIONS,10.1002/hep4.1566,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Butyrate prevents chemotherapy-induced gastrointestinal toxicity and microbial dysbiosis,2025,SCIENTIFIC REPORTS,10.1038/s41598-025-30385-8,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Chemotherapy-driven intestinal dysbiosis and indole-3-propionic acid rewire myelopoiesis to promote a metastasis-refractory state,2025,NATURE COMMUNICATIONS,10.1038/s41467-025-67169-7,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Appraisal of postbiotics in cancer therapy,2024,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2024.1436021,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Ulcerative Colitis: Rapid Evidence Review,2022,AMERICAN FAMILY PHYSICIAN,,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Biotransformation of Doxorubicin Promotes Resilience in Simplified Intestinal Microbial Communities,2021,MSPHERE,10.1128/mSphere.00068-21,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
9th Immunotherapy of Cancer conference (ITOC): A meeting report,2022,HUMAN VACCINES & IMMUNOTHERAPEUTICS,10.1080/21645515.2022.2159706,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Intratumour microbiome of pancreatic cancer,2023,WORLD JOURNAL OF GASTROINTESTINAL ONCOLOGY,10.4251/wjgo.v15.i5.713,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Pretreatment with probiotic Bifico ameliorates colitis-associated cancer in mice: Transcriptome and gut flora profiling,2018,CANCER SCIENCE,10.1111/cas.13497,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Analyzing the Blueprint: Exploring the Molecular Profile of Metastasis and Therapeutic Resistance,2025,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms26146954,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Unveiling the Hidden Links: Periodontal Disease, Fusobacterium Nucleatum, and Cancers",2024,CURRENT ONCOLOGY REPORTS,10.1007/s11912-024-01591-w,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Turning tumor microenvironmental foes to friends: A new opportunity for thyroid cancer therapy and redifferentiation,2025,ORAL ONCOLOGY,10.1016/j.oraloncology.2025.107513,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"The role of intratumoral microbiome in the occurrence, proliferation, metastasis of colorectal cancer and its underlying therapeutic strategies",2025,AGEING RESEARCH REVIEWS,10.1016/j.arr.2025.102820,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Biology-driven developments in the therapy of acute graft-versus-host disease,2018,HEMATOLOGY-AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,10.1182/asheducation-2018.1.236,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
The role of Fusobacterium nucleatum in cancer and its implications for clinical applications,2024,MOLECULAR ORAL MICROBIOLOGY,10.1111/omi.12475,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The protective effect of teprenone in TNBS-induced ulcerative colitis rats by modulating the gut microbiota and reducing inflammatory response,2024,IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,10.1080/08923973.2024.2308252,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Evidence-Based Approach to Chronic Antibiotic Refractory Pouchitis: A Review,2024,DISEASES OF THE COLON & RECTUM,10.1097/DCR.0000000000003207,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Pouchitis: pathophysiology and management,2024,NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY,10.1038/s41575-024-00920-5,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Saussurea costus alleviates ulcerative colitis by regulating the gut microbiota and improving intestinal barrier integrity,2025,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,10.3389/fcimb.2025.1528578,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
"Curcumin in colorectal cancer: mechanistic insights, pharmacological limitations, and translational perspectives",2025,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2025.1667731,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Engineering lauric acid-based nanodrug delivery systems for restoring chemosensitivity and improving biocompatibility of 5-FU and OxPt against Fn-associated colorectal tumor,2024,JOURNAL OF MATERIALS CHEMISTRY B,10.1039/d4tb00103f,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Natural anti-cancer products: insights from herbal medicine,2025,CHINESE MEDICINE,10.1186/s13020-025-01124-y,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fecal microbiome extract downregulates the expression of key proteins at the interface between airway remodelling and lung cancer pathogenesis in vitro,2024,PATHOLOGY RESEARCH AND PRACTICE,10.1016/j.prp.2024.155387,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Resistance Mechanisms to Anti-PD Cancer Immunotherapy,2022,ANNUAL REVIEW OF IMMUNOLOGY,10.1146/annurev-immunol-070621-030155,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The metabolism-immune axis in colorectal cancer: remodeling the tumor microenvironment through metabolite signaling,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1735873,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"PRIMARY NON-RESPONSE IN INFLAMMATORY BOWEL DISEASE, DEFINITION, POTENTIAL CAUSES, THERAPEUTIC DRUG MONITORING AND MICROBIOTA - A REVIEW",2020,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,10.15666/aeer/1804_55055525,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Washed microbiota transplantation stopped recurrent sepsis in a patient with myelofibrosis: a case report,2024,GUT PATHOGENS,10.1186/s13099-024-00660-6,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Indoleamine 2,3-dioxygenase 1 (IDO1) inhibitors and PROTAC-based degraders for cancer therapy",2022,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,10.1016/j.ejmech.2021.113967,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Unraveling the Anti-Cancer Mechanisms of Antibiotics: Current Insights, Controversies, and Future Perspectives",2025,ANTIBIOTICS-BASEL,10.3390/antibiotics14010009,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Recent advances in gut microbiota metabolite regulation of hepatic pregnane X receptor,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1692684,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Natural Compounds as Potential Therapeutics for Pancreatic Cancer: A Narrative Review,2025,CURRENT DRUG METABOLISM,10.2174/0113892002393013250812093213,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Innovative Bacterial Therapies and Genetic Engineering Approaches in Colorectal Cancer: A Review of Emerging Strategies and Clinical Implications,2024,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,10.4014/jmb.2408.08026,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Tumor immunotherapy resistance: Revealing the mechanism of PD-1 / PD-L1-mediated tumor immune escape,2024,BIOMEDICINE & PHARMACOTHERAPY,10.1016/j.biopha.2024.116203,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Insights into the role of gut and intratumor microbiota in pancreatic ductal adenocarcinoma as new key players in preventive, diagnostic and therapeutic perspective",2022,SEMINARS IN CANCER BIOLOGY,10.1016/j.semcancer.2021.11.007,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Advances in Engineered Phages for Disease Treatment,2025,SMALL METHODS,10.1002/smtd.202401611,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Molecular Alterations in Gastric Intestinal Metaplasia Shed Light on Alteration of Methionine Metabolism: Insight into New Diagnostic and Treatment Approaches,2025,BIOMEDICINES,10.3390/biomedicines13040964,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Higher amoebic and metronidazole resistant forms of Blastocystis sp. seen in schizophrenic patients,2022,PARASITES & VECTORS,10.1186/s13071-022-05418-0,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Tryptophan Metabolism as a Pharmacological Target,2021,TRENDS IN PHARMACOLOGICAL SCIENCES,10.1016/j.tips.2020.11.006,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Bacterial Quorum Sensing: A Double-Edged Sword in Cancer Development,2025,ADVANCED BIOLOGY,10.1002/adbi.202500023,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The Pathogenicity of Fusobacterium nucleatum Modulated by Dietary Fibers-A Possible Missing Link between the Dietary Composition and the Risk of Colorectal Cancer,2023,MICROORGANISMS,10.3390/microorganisms11082004,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Fungal Dysbiosis Aggravates Pouchitis in a Rat Model of Ileal Pouch Anal Anastomosis,2020,INFLAMMATORY BOWEL DISEASES,10.1093/ibd/izaa111,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
"Natural-Derived Polysaccharides From Plants, Mushrooms, and Seaweeds for the Treatment of Inflammatory Bowel Disease",2021,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2021.651813,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Elucidating cellular origins and TME dynamic evolution in NSCLC through multi-omics technologies,2025,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,10.1016/j.bbcan.2025.189425,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The crosstalk between MiRNAs and autophagy in leukemia: mechanisms and therapeutic insights,2025,DISCOVER ONCOLOGY,10.1007/s12672-025-03686-7,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
